Date,Open,High,Low,Close,Volume
2007-01-02,24831.8,25067.7,24740.7,24809.6,10325978
2007-01-03,24829.8,24874.9,24638.6,24727.0,11276733
2007-01-04,24564.9,24632.2,24407.5,24454.1,5596535
2007-01-05,24359.1,24359.1,23869.8,24116.8,5484084
2007-01-08,23967.7,23979.7,23674.4,23813.8,4584352
2007-01-09,23773.9,24127.9,23497.9,23570.2,8133265
2007-01-10,23524.9,23524.9,23060.1,23214.3,8411551
2007-01-11,23282.9,23783.1,23282.9,23704.7,7700320
2007-01-12,23700.1,23985.2,23592.8,23979.6,6882224
2007-01-15,24229.1,24389.7,24161.0,24261.9,6755091
2007-01-16,24225.2,24299.5,24021.1,24293.8,6272146
2007-01-17,24269.4,24453.1,24018.9,24055.8,6770399
2007-01-18,24175.8,24421.0,24157.2,24172.5,6415916
2007-01-19,24058.8,24299.2,23883.8,24196.5,10224203
2007-01-22,24397.8,24642.6,24356.1,24360.5,4574970
2007-01-23,24398.6,24402.7,24032.7,24215.6,3065150
2007-01-24,24400.7,24486.0,24215.8,24217.9,3470512
2007-01-25,24257.0,24295.1,23964.0,24066.0,7687528
2007-01-26,23843.9,23932.7,23610.2,23803.1,3373496
2007-01-29,23881.0,23963.1,23678.9,23681.4,3056001
2007-01-30,23549.5,23836.0,23452.5,23836.0,4700121
2007-01-31,23881.1,24112.5,23796.2,24059.4,5066520
2007-02-01,24392.6,24445.7,24069.5,24083.5,6990860
2007-02-02,24265.4,24365.3,24125.9,24190.4,6403986
2007-02-05,24258.0,24299.4,24030.3,24218.3,5519664
2007-02-06,24275.5,24277.7,24052.5,24148.8,8165860
2007-02-07,24140.9,24141.3,23903.5,23944.6,4674789
2007-02-08,23939.6,23944.2,23459.0,23491.3,4386549
2007-02-09,23651.6,23967.1,23493.1,23847.1,10567709
2007-02-12,23678.3,23785.2,23507.0,23719.1,4042069
2007-02-13,23753.2,23926.4,23588.7,23901.6,5364427
2007-02-14,23901.5,24155.8,23823.5,24155.8,7887184
2007-02-15,24187.2,24365.9,24016.8,24016.8,9324835
2007-02-16,24046.2,24312.9,24011.0,24257.8,13244398
2007-02-19,24259.6,24414.8,24129.6,24254.1,5494009
2007-02-20,24356.6,24411.4,23998.2,24042.0,11339263
2007-02-21,24138.0,24287.8,24039.0,24039.0,4606373
2007-02-22,24119.1,24229.9,24043.8,24108.4,4216229
2007-02-23,24178.7,24234.7,24014.3,24157.4,6456929
2007-02-26,24260.6,24359.3,24192.8,24214.5,6301820
2007-02-27,24096.1,24105.7,23417.0,23624.2,11110698
2007-02-28,23081.3,23448.9,23041.4,23371.2,11818489
2007-03-01,23280.3,23608.8,22832.2,23147.3,11689576
2007-03-02,23380.4,23430.1,22944.5,23088.7,8730301
2007-03-05,22577.3,22835.1,22476.5,22769.4,8663617
2007-03-06,23042.6,23090.4,22741.7,22765.1,7596106
2007-03-07,23034.9,23039.5,22448.8,22522.4,6283577
2007-03-08,22652.9,23019.6,22652.9,23019.6,8315214
2007-03-09,23061.2,23174.5,22861.2,22963.7,8157247
2007-03-12,22983.0,23292.0,22837.3,22841.8,9915831
2007-03-13,22842.6,23123.2,22842.6,23048.4,5863120
2007-03-14,22591.3,23063.1,22509.9,23063.1,8768004
2007-03-19,23096.0,23290.4,22961.9,23290.4,7550079
2007-03-20,23423.6,23463.2,23147.8,23172.4,10479392
2007-03-21,23311.7,23372.6,22987.3,23062.2,9689827
2007-03-22,23373.2,23508.8,23303.0,23341.8,7642990
2007-03-23,23439.7,23651.4,23382.4,23651.4,8831946
2007-03-26,23659.1,23681.6,23236.8,23267.7,6338578
2007-03-27,23387.4,23579.2,23375.3,23400.0,5845580
2007-03-28,23401.2,23596.1,23340.6,23340.6,6046716
2007-03-29,23416.3,23483.1,23340.5,23370.6,4232278
2007-03-30,23486.2,23676.3,23423.2,23423.2,6096721
