Date,Open,High,Low,Close,Volume
2007-01-02,1618.3,1618.3,1618.3,1618.3,0
2007-01-03,1617.9,1617.9,1617.9,1617.9,0
2007-01-04,1614.2,1614.2,1614.2,1614.2,0
2007-01-05,1599.9,1599.9,1599.9,1599.9,0
2007-01-08,1590.9,1590.9,1590.9,1590.9,0
2007-01-09,1589.3,1589.3,1589.3,1589.3,0
2007-01-10,1565.3,1565.3,1565.3,1565.3,0
2007-01-11,1593.1,1593.1,1593.1,1593.1,0
2007-01-12,1602.6,1602.6,1602.6,1602.6,0
2007-01-15,1617.9,1617.9,1617.9,1617.9,0
2007-01-16,1621.9,1621.9,1621.9,1621.9,0
2007-01-17,1609.9,1609.9,1609.9,1609.9,0
2007-01-18,1624.2,1624.2,1624.2,1624.2,0
2007-01-19,1618.9,1618.9,1618.9,1618.9,0
2007-01-22,1634.5,1634.5,1634.5,1634.5,0
2007-01-23,1640.7,1640.7,1640.7,1640.7,0
2007-01-24,1659.8,1659.8,1659.8,1659.8,0
2007-01-25,1675.4,1675.4,1675.4,1675.4,0
2007-01-26,1660.9,1660.9,1660.9,1660.9,0
2007-01-29,1661.3,1661.3,1661.3,1661.3,0
2007-01-30,1667.1,1667.1,1667.1,1667.1,0
2007-01-31,1663.4,1663.4,1663.4,1663.4,0
2007-02-01,1682.7,1682.7,1682.7,1682.7,0
2007-02-02,1688.7,1688.7,1688.7,1688.7,0
2007-02-05,1694.4,1694.4,1694.4,1694.4,0
2007-02-06,1718.4,1718.4,1718.4,1718.4,0
2007-02-07,1714.9,1714.9,1714.9,1714.9,0
2007-02-08,1692.1,1692.1,1692.1,1692.1,0
2007-02-09,1684.7,1684.7,1684.7,1684.7,0
2007-02-12,1679.9,1679.9,1679.9,1679.9,0
2007-02-13,1694.3,1694.3,1694.3,1694.3,0
2007-02-14,1708.9,1708.9,1708.9,1708.9,0
2007-02-15,1703.2,1703.2,1703.2,1703.2,0
2007-02-16,1701.3,1701.3,1701.3,1701.3,0
2007-02-19,1706.9,1706.9,1706.9,1706.9,0
2007-02-20,1686.6,1686.6,1686.6,1686.6,0
2007-02-21,1672.2,1672.2,1672.2,1672.2,0
2007-02-22,1686.0,1686.0,1686.0,1686.0,0
2007-02-23,1704.8,1704.8,1704.8,1704.8,0
2007-02-26,1706.2,1706.2,1706.2,1706.2,0
2007-02-27,1635.8,1635.8,1635.8,1635.8,0
2007-02-28,1628.0,1628.0,1628.0,1628.0,0
2007-03-01,1593.6,1593.6,1593.6,1593.6,0
2007-03-02,1613.0,1613.0,1613.0,1613.0,0
2007-03-05,1595.7,1595.7,1595.7,1595.7,0
2007-03-06,1629.1,1629.1,1629.1,1629.1,0
2007-03-07,1626.9,1626.9,1626.9,1626.9,0
2007-03-08,1667.6,1667.6,1667.6,1667.6,0
2007-03-09,1674.7,1674.7,1674.7,1674.7,0
2007-03-12,1662.6,1662.6,1662.6,1662.6,0
2007-03-13,1661.8,1661.8,1661.8,1661.8,0
2007-03-14,1628.4,1628.4,1628.4,1628.4,0
2007-03-15,1635.8,1635.8,1635.8,1635.8,0
2007-03-16,1643.2,1643.2,1643.2,1643.2,0
2007-03-19,1653.7,1653.7,1653.7,1653.7,0
2007-03-20,1671.3,1671.3,1671.3,1671.3,0
2007-03-21,1681.4,1681.4,1681.4,1681.4,0
2007-03-22,1691.0,1691.0,1691.0,1691.0,0
2007-03-23,1708.9,1708.9,1708.9,1708.9,0
2007-03-26,1712.7,1712.7,1712.7,1712.7,0
2007-03-27,1692.8,1692.8,1692.8,1692.8,0
2007-03-28,1680.1,1680.1,1680.1,1680.1,0
2007-03-29,1703.2,1703.2,1703.2,1703.2,0
2007-03-30,1712.2,1712.2,1712.2,1712.2,0
2007-04-02,1708.7,1708.7,1708.7,1708.7,0
