Date,Close
2007-01-01,251.16000366210938
2007-01-02,251.13999938964844
2007-01-03,251.88999938964844
2007-01-04,253.24000549316406
2007-01-05,254.02999877929688
2007-01-08,252.77999877929688
2007-01-09,254.5399932861328
2007-01-10,255.25
2007-01-11,253.5800018310547
2007-01-12,252.6999969482422
2007-01-15,251.75999450683594
2007-01-16,253.1300048828125
2007-01-17,252.5399932861328
2007-01-18,251.6300048828125
2007-01-19,251.57000732421875
2007-01-22,252.30999755859375
2007-01-23,253.94000244140625
2007-01-24,253.33999633789062
2007-01-25,256.70001220703125
2007-01-26,256.1000061035156
2007-01-29,256.6700134277344
2007-01-30,257.3999938964844
2007-01-31,254.83999633789062
2007-02-01,254.52000427246094
2007-02-02,254.97999572753906
2007-02-05,253.1699981689453
2007-02-06,253.10000610351562
2007-02-07,252.97999572753906
2007-02-08,252.97999572753906
2007-02-09,252.3800048828125
2007-02-12,254.35000610351562
2007-02-13,253.32000732421875
2007-02-14,251.75
2007-02-15,252.6699981689453
2007-02-16,251.4499969482422
2007-02-19,251.0
2007-02-20,251.50999450683594
2007-02-21,251.27000427246094
2007-02-22,251.83999633789062
2007-02-23,252.4199981689453
2007-02-26,252.0
2007-02-27,256.3500061035156
2007-02-28,254.47999572753906
2007-03-01,254.22000122070312
2007-03-02,253.0
2007-03-05,253.75999450683594
2007-03-06,252.86000061035156
2007-03-07,252.0399932861328
2007-03-08,250.44000244140625
2007-03-09,249.05999755859375
2007-03-12,248.63999938964844
2007-03-13,251.27000427246094
2007-03-14,249.69000244140625
2007-03-15,249.02000427246094
2007-03-16,249.08999633789062
2007-03-19,245.3800048828125
2007-03-20,246.35000610351562
2007-03-21,245.49000549316406
2007-03-22,245.58999633789062
2007-03-23,245.9199981689453
2007-03-25,247.1999969482422
2007-03-26,247.8000030517578
2007-03-27,248.99000549316406
2007-03-28,247.75
2007-03-29,247.61000061035156
2007-04-01,247.33999633789062
2007-04-02,245.05999755859375
2007-04-03,245.27000427246094
2007-04-04,245.69000244140625
2007-04-05,245.58999633789062
2007-04-08,245.3000030517578
2007-04-09,244.8699951171875
2007-04-10,245.0
2007-04-11,245.50999450683594
2007-04-12,244.8300018310547
2007-04-15,244.9600067138672
2007-04-16,245.25999450683594
2007-04-17,246.1999969482422
2007-04-18,245.83999633789062
2007-04-19,245.17999267578125
2007-04-22,245.14999389648438
2007-04-23,245.24000549316406
2007-04-24,245.13999938964844
2007-04-25,245.6300048828125
2007-04-26,245.32000732421875
2007-04-29,247.07000732421875
2007-04-30,247.7899932861328
2007-05-01,246.75999450683594
2007-05-02,245.88999938964844
2007-05-03,245.8300018310547
2007-05-06,245.44000244140625
2007-05-07,245.94000244140625
2007-05-08,246.66000366210938
2007-05-09,249.3000030517578
2007-05-10,247.1999969482422
2007-05-13,247.11000061035156
2007-05-14,247.83999633789062
2007-05-15,249.1699981689453
2007-05-16,249.86000061035156
2007-05-17,250.14999389648438
2007-05-20,248.35000610351562
2007-05-21,247.92999267578125
2007-05-22,248.7899932861328
2007-05-23,251.1699981689453
2007-05-24,249.5500030517578
2007-05-27,249.52000427246094
2007-05-28,250.2100067138672
2007-05-29,250.17999267578125
2007-05-30,249.97999572753906
2007-05-31,249.0399932861328
2007-06-03,250.00999450683594
2007-06-04,251.9199981689453
2007-06-05,252.8699951171875
2007-06-06,254.13999938964844
2007-06-07,253.42999267578125
2007-06-10,252.6199951171875
2007-06-11,253.35000610351562
2007-06-12,252.6699981689453
2007-06-13,251.3000030517578
2007-06-14,249.6300048828125
2007-06-17,249.7100067138672
2007-06-18,248.7100067138672
2007-06-19,248.85000610351562
2007-06-20,248.11000061035156
2007-06-21,245.80999755859375
2007-06-24,246.75999450683594
2007-06-25,247.57000732421875
2007-06-26,246.8300018310547
2007-06-27,244.9600067138672
2007-06-28,246.6699981689453
2007-07-01,245.89999389648438
2007-07-02,245.6999969482422
2007-07-03,245.4199981689453
2007-07-04,247.07000732421875
2007-07-05,245.3300018310547
2007-07-08,245.3699951171875
2007-07-09,246.14999389648438
2007-07-10,246.1300048828125
2007-07-11,245.08999633789062
2007-07-12,245.0800018310547
2007-07-15,245.0800018310547
2007-07-16,245.30999755859375
2007-07-17,245.4600067138672
2007-07-18,245.1300048828125
2007-07-19,245.6999969482422
2007-07-22,245.5399932861328
2007-07-23,246.69000244140625
2007-07-24,247.10000610351562
2007-07-25,251.4600067138672
2007-07-26,251.85000610351562
2007-07-29,251.60000610351562
2007-07-30,252.25
2007-07-31,251.07000732421875
2007-08-01,251.0
2007-08-02,250.88999938964844
2007-08-05,251.0
2007-08-06,250.33999633789062
2007-08-07,248.4499969482422
2007-08-08,250.86000061035156
2007-08-09,252.36000061035156
2007-08-12,252.30999755859375
2007-08-13,257.8500061035156
2007-08-14,258.2699890136719
2007-08-15,258.510009765625
2007-08-16,257.7699890136719
2007-08-19,259.19000244140625
2007-08-20,261.25
2007-08-21,258.0899963378906
2007-08-22,257.989990234375
2007-08-23,257.0299987792969
2007-08-26,255.7100067138672
2007-08-27,258.1600036621094
2007-08-28,255.75999450683594
2007-08-29,254.72000122070312
2007-08-30,254.35000610351562
2007-09-02,254.3699951171875
2007-09-03,254.77000427246094
2007-09-04,255.47999572753906
2007-09-05,253.97999572753906
2007-09-06,256.7799987792969
2007-09-10,253.33999633789062
2007-09-11,253.77999877929688
2007-09-12,253.6699981689453
2007-09-13,253.8000030517578
2007-09-16,254.86000061035156
2007-09-17,252.1300048828125
2007-09-18,251.14999389648438
2007-09-19,250.83999633789062
2007-09-20,249.3699951171875
2007-09-23,249.1699981689453
2007-09-24,250.41000366210938
2007-09-25,250.50999450683594
2007-09-26,249.83999633789062
2007-09-27,250.5500030517578
2007-09-30,250.33999633789062
2007-10-01,251.19000244140625
2007-10-02,251.5399932861328
2007-10-03,251.9600067138672
2007-10-04,249.83999633789062
2007-10-07,249.88999938964844
2007-10-08,249.22000122070312
2007-10-09,249.4499969482422
2007-10-10,248.94000244140625
2007-10-11,249.8000030517578
2007-10-14,250.14999389648438
2007-10-15,250.88999938964844
2007-10-16,250.72000122070312
2007-10-17,250.02999877929688
2007-10-18,250.60000610351562
2007-10-21,251.47000122070312
2007-10-22,251.36000061035156
2007-10-23,251.36000061035156
2007-10-24,250.58999633789062
2007-10-25,250.41000366210938
2007-10-29,250.75
2007-10-30,250.88999938964844
2007-10-31,250.49000549316406
2007-11-01,251.55999755859375
2007-11-02,252.1999969482422
2007-11-05,252.55999755859375
2007-11-06,252.16000366210938
2007-11-07,253.6999969482422
2007-11-08,252.6699981689453
2007-11-09,253.32000732421875
2007-11-12,254.1999969482422
2007-11-13,253.22999572753906
2007-11-14,253.55999755859375
2007-11-15,254.19000244140625
2007-11-16,254.05999755859375
2007-11-19,255.0500030517578
2007-11-20,254.82000732421875
2007-11-21,256.45001220703125
2007-11-22,256.489990234375
2007-11-23,257.2799987792969
2007-11-27,257.2200012207031
2007-11-28,253.66000366210938
2007-11-29,253.9199981689453
2007-11-30,252.7899932861328
2007-12-03,252.85000610351562
2007-12-04,252.75
2007-12-05,251.75999450683594
2007-12-06,251.66000366210938
2007-12-07,251.17999267578125
2007-12-10,251.4600067138672
2007-12-11,252.63999938964844
2007-12-12,252.0800018310547
2007-12-13,252.1699981689453
2007-12-14,254.00999450683594
2007-12-17,254.63999938964844
2007-12-19,253.75
2007-12-20,254.27999877929688
2007-12-21,253.22999572753906
2007-12-24,253.7899932861328
