Date,Open,High,Low,Close,Volume
2007-01-03,1239.06,1243.83,1235.09,1243.73,5117
2007-01-04,1243.73,1266.31,1241.73,1266.31,45817
2007-01-05,1266.31,1307.18,1266.31,1302.81,12617
2007-01-08,1314.16,1349.56,1314.16,1349.56,207579
2007-01-09,1364.48,1380.31,1361.02,1378.38,266436
2007-01-10,1373.56,1384.81,1373.56,1381.39,194714
2007-01-11,1387.02,1387.02,1355.42,1355.43,7392368
2007-01-12,1377.61,1378.15,1367.23,1372.72,53713
2007-01-15,1397.59,1397.59,1353.56,1383.92,157603
2007-01-16,1385.96,1386.38,1364.64,1373.71,72201
2007-01-17,1381.93,1381.93,1375.02,1378.2,1347928
2007-01-18,1374.89,1386.88,1373.86,1376.65,12617
2007-01-19,1376.65,1384.13,1374.87,1375.66,123757
2007-01-22,1380.75,1416.81,1380.75,1416.81,107398
2007-01-23,1419.34,1419.34,1406.38,1412.71,204080
2007-01-24,1412.71,1412.71,1364.53,1364.53,3346803
2007-01-25,1378.63,1378.63,1363.18,1366.71,36206
2007-01-26,1372.79,1382.56,1371.38,1382.36,27327
2007-01-29,1390.33,1395.25,1368.31,1374.87,430575
2007-01-30,1375.87,1375.87,1359.04,1359.18,106764
2007-01-31,1338.6,1339.46,1328.43,1339.46,260784
2007-02-01,1340.47,1340.47,1329.27,1334.78,257472
2007-02-02,1335.56,1336.27,1330.98,1331.52,104261
2007-02-05,1326.35,1326.92,1319.77,1319.86,62187
2007-02-06,1306.18,1320.52,1306.18,1320.52,287571
2007-02-07,1322.21,1330.0,1322.21,1330.0,1049290
2007-02-08,1339.04,1342.35,1335.13,1336.75,507752
2007-02-09,1336.75,1345.52,1336.75,1341.93,154250
2007-02-12,1340.29,1343.78,1339.2,1339.84,229320
2007-02-13,1334.71,1336.63,1321.85,1322.24,127848
2007-02-14,1326.49,1326.99,1315.41,1315.41,154577
2007-02-15,1315.41,1337.29,1315.41,1337.23,224561
2007-02-16,1345.93,1349.2,1345.93,1347.52,126941
2007-02-19,1347.52,1347.52,1328.65,1328.65,86939
2007-02-20,1324.51,1324.93,1318.3,1322.02,115426
2007-02-21,1315.56,1315.56,1310.6,1312.1,100919
2007-02-22,1319.45,1320.84,1317.0,1320.64,67317
2007-02-23,1320.64,1320.64,1296.92,1296.92,637102
2007-02-26,1301.54,1310.34,1301.54,1304.06,306723
2007-02-27,1303.28,1309.61,1301.25,1309.61,756695
2007-02-28,1296.23,1304.78,1291.79,1304.78,316273
2007-03-01,1310.72,1311.12,1301.37,1302.79,121978
2007-03-02,1302.79,1307.05,1302.23,1306.64,486746
2007-03-05,1306.56,1306.56,1276.24,1276.24,360385
2007-03-06,1258.81,1261.02,1254.01,1260.86,472676
2007-03-07,1262.97,1280.38,1262.55,1280.22,208269
2007-03-08,1281.02,1283.39,1276.27,1276.29,451469
2007-03-09,1274.66,1278.93,1271.99,1277.79,68753
2007-03-12,1283.04,1283.04,1276.97,1281.26,200443
2007-03-13,1282.08,1291.31,1282.08,1290.23,2328369
2007-03-14,1290.23,1290.23,1270.31,1273.48,378359
2007-03-15,1274.33,1275.4,1268.31,1270.97,750004
2007-03-16,1270.54,1273.25,1266.18,1272.4,319561
2007-03-19,1271.3,1271.3,1268.2,1268.96,227441
2007-03-20,1266.76,1267.81,1264.41,1264.77,404281
2007-03-21,1262.84,1266.58,1262.01,1265.77,393548
2007-03-22,1266.43,1266.53,1264.77,1265.42,468513
2007-03-23,1264.91,1265.17,1261.23,1261.66,219200
2007-03-26,1261.66,1264.2,1261.66,1262.92,64360
2007-03-27,1260.45,1264.92,1260.03,1263.56,614710
2007-03-28,1264.3,1264.3,1259.67,1261.76,400465
2007-03-29,1262.48,1266.38,1262.36,1263.23,373936
2007-03-30,1263.23,1278.18,1261.38,1278.18,1582982
2007-04-02,1275.26,1284.65,1269.61,1275.84,38319
2007-04-03,1276.08,1288.8,1276.08,1288.8,515419
2007-04-04,1290.47,1293.78,1286.96,1293.76,965256
2007-04-05,1303.15,1305.03,1300.79,1300.79,461852
2007-04-06,1298.39,1300.89,1298.39,1299.65,49476
2007-04-10,1298.75,1299.59,1291.87,1292.27,280403
2007-04-11,1293.22,1294.48,1290.85,1293.41,1969981
2007-04-12,1293.41,1293.41,1278.97,1283.56,130345
2007-04-13,1283.87,1283.87,1275.56,1275.72,483392
2007-04-16,1277.21,1277.47,1274.45,1276.76,573805
2007-04-17,1273.93,1273.93,1261.73,1266.04,1130846
2007-04-18,1266.71,1268.5,1265.48,1267.43,82776
2007-04-19,1267.08,1274.09,1267.08,1269.96,127555
2007-04-20,1266.85,1267.39,1263.55,1266.55,451380
2007-04-23,1274.25,1278.66,1271.75,1278.66,472946
2007-04-24,1282.43,1284.2,1280.49,1280.63,585792
2007-04-25,1282.09,1283.01,1274.2,1274.21,131156
2007-04-26,1272.97,1272.97,1264.26,1266.61,415122
2007-04-27,1271.87,1273.59,1263.21,1273.59,175958
2007-04-30,1273.59,1273.59,1273.59,1273.59,175958
2007-05-02,1271.36,1271.36,1264.83,1265.87,328391
2007-05-03,1265.08,1265.2,1244.65,1245.21,270400
2007-05-04,1242.45,1247.65,1239.48,1243.89,65410
2007-05-07,1237.81,1237.81,1220.68,1221.06,998362
2007-05-08,1220.13,1227.75,1220.13,1225.48,1065411
2007-05-09,1224.06,1235.08,1224.06,1235.08,517286
2007-05-10,1232.53,1235.72,1228.78,1232.48,405978
2007-05-11,1232.43,1256.23,1232.43,1255.79,1408125
2007-05-14,1268.21,1274.4,1268.21,1274.36,870931
2007-05-15,1274.84,1285.76,1274.84,1285.66,342179
2007-05-16,1284.06,1291.14,1284.06,1290.52,138785
2007-05-17,1292.18,1292.93,1290.24,1290.24,240398
2007-05-18,1295.91,1298.12,1292.05,1297.08,1235108
2007-05-21,1303.81,1307.1,1301.51,1307.1,268715
2007-05-22,1307.1,1331.12,1307.1,1331.12,15115404
2007-05-23,1331.53,1333.42,1320.02,1320.02,338894
2007-05-28,1321.48,1332.22,1321.1,1330.41,109161
2007-05-29,1330.41,1338.51,1325.58,1338.51,206519
2007-05-30,1346.39,1346.39,1337.87,1338.27,51541
2007-05-31,1339.0,1339.68,1335.48,1335.53,251491
2007-06-01,1336.0,1343.95,1332.39,1339.81,144238
2007-06-04,1343.54,1350.61,1343.54,1349.12,1341941
2007-06-05,1348.54,1356.15,1348.54,1353.75,142364
2007-06-06,1358.54,1358.72,1356.35,1358.72,299606
2007-06-07,1361.52,1369.5,1358.48,1358.48,317779
2007-06-08,1360.72,1360.72,1347.14,1347.14,155336
2007-06-11,1345.3,1348.67,1340.87,1341.03,57761
2007-06-12,1340.99,1341.46,1336.4,1336.92,115751
2007-06-13,1340.13,1348.9,1336.76,1348.9,308203
2007-06-14,1348.79,1350.87,1347.11,1347.41,215012
2007-06-15,1346.49,1349.53,1345.38,1349.3,270945
2007-06-18,1349.05,1352.55,1346.5,1348.21,108133
2007-06-19,1347.93,1364.54,1347.93,1364.54,218587
2007-06-20,1367.58,1368.92,1362.67,1362.67,397784
2007-06-21,1373.39,1385.1,1369.23,1384.93,1037186
2007-06-22,1381.59,1387.78,1378.98,1387.78,465289
2007-06-25,1388.33,1388.33,1374.84,1378.12,615661
