date,y_true,var_01,var_025,var_05,es_025
2018-01-02,0.00168128,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-03,0.00406918,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-04,0.00618218,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-05,0.00363604,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-08,0.00271838,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-09,-0.00586370,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-10,-0.00549116,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-11,0.00306004,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-12,0.00263928,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-15,-0.00751983,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-16,0.00265066,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-17,-0.00355685,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-18,0.00304670,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-19,0.00898460,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-22,0.02420380,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-23,0.01245841,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-24,-0.01301024,-0.02179993,-0.01718312,-0.01277440,-0.02173147
2018-01-25,-0.01346564,-0.02179993,-0.01718312,-0.01296062,-0.02173147
2018-01-26,0.00872280,-0.02179993,-0.01718312,-0.01326071,-0.02173147
2018-01-29,-0.00703076,-0.02179993,-0.01718312,-0.01326071,-0.02173147
2018-01-30,-0.01426668,-0.02179993,-0.01718312,-0.01326071,-0.02173147
2018-01-31,0.00654287,-0.02179993,-0.01718312,-0.01349144,-0.02173147
2018-02-01,0.00123740,-0.02179993,-0.01718312,-0.01349144,-0.02173147
2018-02-02,-0.00715332,-0.02179993,-0.01718312,-0.01349144,-0.02173147
2018-02-05,-0.00456619,-0.02179993,-0.01718312,-0.01349144,-0.02173147
2018-02-06,-0.02451926,-0.02179993,-0.01718312,-0.01326071,-0.02173147
2018-02-07,0.02272356,-0.02354557,-0.01935662,-0.01349144,-0.02275871
2018-02-08,-0.02092803,-0.02354557,-0.01935662,-0.01349144,-0.02275871
2018-02-09,-0.01439499,-0.02354557,-0.02069437,-0.01373062,-0.02289909
2018-02-12,-0.00086414,-0.02354557,-0.02069437,-0.01410574,-0.02289909
2018-02-13,0.00261026,-0.02354557,-0.02069437,-0.01410574,-0.02289909
2018-02-14,0.00174541,-0.02354557,-0.02069437,-0.01410574,-0.02289909
2018-02-15,0.00177066,-0.02354557,-0.02069437,-0.01410574,-0.02289909
2018-02-16,0.01587360,-0.02354557,-0.02069437,-0.01410574,-0.02289909
2018-02-19,-0.00339164,-0.02354557,-0.02069437,-0.01410574,-0.02289909
2018-02-20,-0.00873586,-0.02354557,-0.02069437,-0.01410574,-0.02289909
2018-02-21,0.00785331,-0.02354557,-0.02069437,-0.01410574,-0.02289909
2018-02-22,-0.00845064,-0.02354557,-0.02069437,-0.01410574,-0.02289909
2018-02-23,-0.01050682,-0.02354557,-0.02069437,-0.01373062,-0.02289909
2018-02-26,0.00990759,-0.02354557,-0.02010559,-0.01349144,-0.02289909
2018-02-27,-0.00410491,-0.02354557,-0.02010559,-0.01349144,-0.02289909
2018-02-28,-0.00915793,-0.02179993,-0.01703101,-0.01326071,-0.02180690
2018-03-01,-0.00907098,-0.02179993,-0.01703101,-0.01326071,-0.02180690
2018-03-02,-0.02218544,-0.02179993,-0.01703101,-0.01326071,-0.02180690
2018-03-05,0.00487397,-0.02236226,-0.02010559,-0.01349144,-0.02250073
2018-03-06,0.02366228,-0.02236226,-0.02010559,-0.01349144,-0.02250073
2018-03-07,0.00466516,-0.02162311,-0.01703101,-0.01326071,-0.02175737
2018-03-08,0.01260620,-0.02162311,-0.01703101,-0.01326071,-0.02175737
2018-03-09,-0.00672350,-0.02162311,-0.01703101,-0.01326071,-0.02175737
2018-03-12,0.01064695,-0.02162311,-0.01703101,-0.01326071,-0.02175737
2018-03-13,-0.00410344,-0.02162311,-0.01703101,-0.01326071,-0.02175737
2018-03-14,0.00586863,-0.02162311,-0.01703101,-0.01326071,-0.02175737
2018-03-19,-0.03139837,-0.02162311,-0.01703101,-0.01326071,-0.02175737
2018-03-20,0.00701188,-0.02337569,-0.02010559,-0.01349144,-0.02376733
2018-03-21,0.00741952,-0.02337569,-0.02010559,-0.01349144,-0.02376733
2018-03-22,-0.02344907,-0.02337569,-0.02010559,-0.01349144,-0.02376733
2018-03-23,-0.01104800,-0.02399487,-0.02092438,-0.01373062,-0.02412980
2018-03-26,0.00396286,-0.02399487,-0.02092438,-0.01373062,-0.02412980
2018-03-27,0.00575121,-0.02399487,-0.02092438,-0.01373062,-0.02412980
2018-03-28,-0.01397485,-0.02399487,-0.02092438,-0.01373062,-0.02412980
2018-03-29,0.01284663,-0.02399487,-0.02092438,-0.01394524,-0.02412980
2018-04-03,0.01620344,-0.02399487,-0.02092438,-0.01394524,-0.02412980
2018-04-04,-0.01576015,-0.02399487,-0.02092438,-0.01394524,-0.02412980
2018-04-05,0.02096215,-0.02399487,-0.02092438,-0.01394524,-0.02412980
2018-04-06,-0.00270377,-0.02399487,-0.02092438,-0.01394524,-0.02412980
2018-04-09,0.00902291,-0.02399487,-0.02092438,-0.01394524,-0.02412980
2018-04-10,-0.01112827,-0.02399487,-0.02092438,-0.01394524,-0.02412980
2018-04-11,0.00235057,-0.02399487,-0.02092438,-0.01394524,-0.02412980
2018-04-12,0.00940481,-0.02399487,-0.02092438,-0.01394524,-0.02412980
2018-04-13,0.00055502,-0.02399487,-0.02092438,-0.01394524,-0.02412980
2018-04-16,-0.00144479,-0.02399487,-0.02092438,-0.01394524,-0.02412980
2018-04-17,-0.00371692,-0.02399487,-0.02092438,-0.01394524,-0.02412980
2018-04-18,0.01592037,-0.02399487,-0.02092438,-0.01394524,-0.02412980
2018-04-19,-0.00267056,-0.02399487,-0.02092438,-0.01394524,-0.02412980
2018-04-20,-0.01407129,-0.02399487,-0.02092438,-0.01394524,-0.02412980
2018-04-23,0.00001521,-0.02399487,-0.02092438,-0.01402790,-0.02412980
2018-04-24,-0.00606582,-0.02399487,-0.02092438,-0.01402790,-0.02412980
2018-04-25,0.00413654,-0.02399487,-0.02092438,-0.01402790,-0.02412980
2018-04-26,0.00564449,-0.02399487,-0.02092438,-0.01402790,-0.02412980
2018-04-27,0.00079335,-0.02399487,-0.02092438,-0.01402790,-0.02412980
2018-05-02,-0.00854598,-0.02399487,-0.02092438,-0.01402790,-0.02412980
2018-05-03,-0.00816735,-0.02399487,-0.02092438,-0.01402790,-0.02412980
2018-05-04,0.00675655,-0.02399487,-0.02092438,-0.01402790,-0.02412980
2018-05-07,-0.00993890,-0.02282989,-0.02010559,-0.01394524,-0.02348997
2018-05-08,-0.01008711,-0.02282989,-0.02010559,-0.01394524,-0.02348997
