model,series,alpha,n_obs,n_violations,violation_rate,expected_rate,kupiec_stat,kupiec_p,kupiec_pass,christoffersen_stat,christoffersen_p,christoffersen_pass,basel_tl,last250_violations,as_z2,as_p,as_pass
Moirai-2.0,WIG20_ret,0.025000,1997,53,0.026540,0.025000,2.874170,0.090011,True,3.111685,0.211012,True,Green,6,-0.049505,0.345000,True
Moirai-2.0,WIG20_ret,0.050000,1997,132,0.066099,0.050000,23.480439,0.000001,False,23.932491,0.000006,False,Green,16,,,
Moirai-2.0,EURPLN_ret,0.010000,2083,17,0.008161,0.010000,1.100669,0.294119,True,1.096962,0.577827,True,Green,0,,,
Moirai-2.0,EURPLN_ret,0.025000,2083,48,0.023044,0.025000,2.766219,0.096273,True,2.773332,0.249907,True,Green,3,0.142139,0.867000,True
Moirai-2.0,EURPLN_ret,0.050000,2083,108,0.051848,0.050000,11.227444,0.000806,False,11.792163,0.002750,False,Green,8,,,
Moirai-2.0,PX_ret,0.010000,2003,37,0.018472,0.010000,12.362188,0.000438,False,12.512725,0.001918,False,Green,4,,,
Moirai-2.0,PX_ret,0.025000,2003,89,0.044433,0.025000,29.807994,0.000000,False,29.848805,0.000000,False,Yellow,10,-0.728110,0.000000,False
Moirai-2.0,PX_ret,0.050000,2003,152,0.075886,0.050000,40.151295,0.000000,False,40.236630,0.000000,False,Yellow,19,,,
Moirai-2.0,EURCZK_ret,0.010000,2083,29,0.013922,0.010000,3.467622,0.062581,True,3.475568,0.175910,True,Green,3,,,
Moirai-2.0,EURCZK_ret,0.025000,2083,74,0.035526,0.025000,12.138841,0.000494,False,12.160567,0.002288,False,Green,4,-0.305008,0.025000,False
Moirai-2.0,EURCZK_ret,0.050000,2083,133,0.063850,0.050000,21.408196,0.000004,False,23.329396,0.000009,False,Green,8,,,
Moirai-2.0,BUX_ret,0.010000,1991,27,0.013561,0.010000,2.837448,0.092090,True,6.572798,0.037388,False,Yellow,5,,,
Moirai-2.0,BUX_ret,0.025000,1991,66,0.033149,0.025000,8.270670,0.004029,False,11.181182,0.003733,False,Green,7,-0.300958,0.046000,False
Moirai-2.0,BUX_ret,0.050000,1991,125,0.062783,0.050000,19.180734,0.000012,False,21.398584,0.000023,False,Green,17,,,
Moirai-2.0,EURHUF_ret,0.010000,2083,19,0.009121,0.010000,0.549236,0.458630,True,0.547466,0.760535,True,Green,1,,,
Moirai-2.0,EURHUF_ret,0.025000,2083,61,0.029285,0.025000,4.577095,0.032402,False,4.611854,0.099666,True,Green,5,-0.059242,0.328000,True
Moirai-2.0,EURHUF_ret,0.050000,2083,133,0.063850,0.050000,21.408196,0.000004,False,21.755105,0.000019,False,Green,8,,,
Moirai-2.0,SOFIX_ret,0.010000,1969,25,0.012697,0.010000,1.835241,0.175510,True,1.840703,0.398379,True,Green,2,,,
Moirai-2.0,SOFIX_ret,0.025000,1969,57,0.028949,0.025000,4.085820,0.043244,False,4.167530,0.124461,True,Green,7,-0.313810,0.066000,True
Moirai-2.0,SOFIX_ret,0.050000,1969,114,0.057897,0.050000,14.160618,0.000168,False,15.503144,0.000430,False,Green,11,,,
Moirai-2.0,USDBGN_ret,0.010000,2081,19,0.009130,0.010000,0.545705,0.460078,True,0.543953,0.761872,True,Green,4,,,
Moirai-2.0,USDBGN_ret,0.025000,2081,55,0.026430,0.025000,2.956293,0.085544,True,2.959240,0.227724,True,Green,8,0.022321,0.555000,True
Moirai-2.0,USDBGN_ret,0.050000,2081,127,0.061028,0.050000,18.022101,0.000022,False,24.698439,0.000004,False,Green,15,,,
Chronos-2-Conf,BET_ret,0.010000,149,2,0.013423,0.010000,0.199451,0.655164,True,0.206469,0.901915,True,Green,2,,,
Chronos-2-Conf,BET_ret,0.025000,149,5,0.033557,0.025000,0.658112,0.417227,True,0.675976,0.713204,True,Green,5,-0.044636,0.376258,True
Chronos-2-Conf,BET_ret,0.050000,149,6,0.040268,0.050000,0.932868,0.334119,True,0.912767,0.633571,True,Green,6,,,
Chronos-2-Conf,EURRON_ret,0.010000,167,2,0.011976,0.010000,0.102155,0.749259,True,0.106224,0.948274,True,Green,2,,,
Chronos-2-Conf,EURRON_ret,0.025000,167,3,0.017964,0.025000,0.527353,0.467722,True,0.513082,0.773723,True,Green,3,0.902896,1.000000,True
Chronos-2-Conf,EURRON_ret,0.050000,167,10,0.059880,0.050000,1.349557,0.245356,True,1.370850,0.503876,True,Green,10,,,
Chronos-2-Conf,WIG20_ret,0.010000,150,1,0.006667,0.010000,0.210852,0.646100,True,0.204174,0.902951,True,Green,1,,,
Chronos-2-Conf,WIG20_ret,0.025000,150,1,0.006667,0.025000,2.958512,0.085427,True,2.921300,0.232085,True,Green,1,0.802042,1.000000,True
Chronos-2-Conf,WIG20_ret,0.050000,150,6,0.040000,0.050000,0.953531,0.328822,True,0.932868,0.627235,True,Green,6,,,
Chronos-2-Conf,EURPLN_ret,0.010000,167,6,0.035928,0.010000,6.922240,0.008513,False,8.692564,0.012955,False,Yellow,6,,,
Chronos-2-Conf,EURPLN_ret,0.025000,167,6,0.035928,0.025000,1.026087,0.311079,True,2.765876,0.250841,True,Green,6,0.236514,0.738739,True
Chronos-2-Conf,EURPLN_ret,0.050000,167,8,0.047904,0.050000,0.836344,0.360444,True,0.832239,0.659601,True,Green,8,,,
Chronos-2-Conf,PX_ret,0.010000,151,1,0.006623,0.010000,0.217619,0.640860,True,0.210852,0.899941,True,Green,1,,,
Chronos-2-Conf,PX_ret,0.025000,151,3,0.019868,0.025000,0.327251,0.567282,True,0.316885,0.853472,True,Green,3,0.444113,1.000000,True
Chronos-2-Conf,PX_ret,0.050000,151,6,0.039735,0.050000,0.974750,0.323498,True,0.953531,0.620788,True,Green,6,,,
Chronos-2-Conf,EURCZK_ret,0.010000,167,2,0.011976,0.010000,0.102155,0.749259,True,0.106224,0.948274,True,Green,2,,,
Chronos-2-Conf,EURCZK_ret,0.025000,167,5,0.029940,0.025000,0.410601,0.521665,True,0.420946,0.810201,True,Green,5,0.322820,0.821464,True
Chronos-2-Conf,EURCZK_ret,0.050000,167,13,0.077844,0.050000,3.681151,0.055031,True,3.741534,0.154006,True,Green,13,,,
Chronos-2-Conf,BUX_ret,0.010000,149,3,0.020134,0.010000,1.254829,0.262632,True,1.275547,0.528468,True,Green,3,,,
Chronos-2-Conf,BUX_ret,0.025000,149,7,0.046980,0.025000,2.710646,0.099681,True,2.756582,0.252009,True,Green,7,-0.302120,0.254254,True
Chronos-2-Conf,BUX_ret,0.050000,149,10,0.067114,0.050000,1.859503,0.172682,True,1.896347,0.387448,True,Green,10,,,
Chronos-2-Conf,EURHUF_ret,0.010000,167,4,0.023952,0.010000,2.441161,0.118189,True,0.942026,0.624369,True,Green,4,,,
Chronos-2-Conf,EURHUF_ret,0.025000,167,6,0.035928,0.025000,1.026087,0.311079,True,0.420946,0.810201,True,Green,6,0.098107,0.568706,True
Chronos-2-Conf,EURHUF_ret,0.050000,167,11,0.065868,0.050000,1.936907,0.164005,True,1.370850,0.503876,True,Green,11,,,
Chronos-2-Conf,SOFIX_ret,0.010000,144,3,0.020833,0.010000,1.361250,0.243321,True,1.383405,0.500723,True,Green,3,,,
Chronos-2-Conf,SOFIX_ret,0.025000,144,7,0.048611,0.025000,2.947127,0.086030,True,3.961519,0.137964,True,Green,7,-0.278288,0.259519,True
Chronos-2-Conf,SOFIX_ret,0.050000,144,8,0.055556,0.050000,0.911148,0.339810,True,1.511575,0.469641,True,Green,8,,,
Chronos-2-Conf,USDBGN_ret,0.010000,167,1,0.005988,0.010000,0.337165,0.561470,True,0.329113,0.848270,True,Green,1,,,
Chronos-2-Conf,USDBGN_ret,0.025000,167,3,0.017964,0.025000,0.527353,0.467722,True,0.513082,0.773723,True,Green,3,0.110806,0.598131,True
Chronos-2-Conf,USDBGN_ret,0.050000,167,7,0.041916,0.050000,0.960642,0.327025,True,0.943958,0.623767,True,Green,7,,,
TimesFM-2.5-Conf,BET_ret,0.010000,1744,34,0.019495,0.010000,13.119165,0.000292,False,13.293079,0.001299,False,Yellow,5,,,
TimesFM-2.5-Conf,BET_ret,0.025000,1744,54,0.030963,0.025000,5.102167,0.023896,False,9.847834,0.007271,False,Green,6,-0.446644,0.023000,False
TimesFM-2.5-Conf,BET_ret,0.050000,1744,95,0.054472,0.050000,10.460292,0.001220,False,16.195923,0.000304,False,Green,10,,,
TimesFM-2.5-Conf,EURRON_ret,0.010000,1831,30,0.016384,0.010000,6.923573,0.008507,False,7.357233,0.025258,False,Yellow,5,,,
TimesFM-2.5-Conf,EURRON_ret,0.025000,1831,58,0.031677,0.025000,6.028543,0.014076,False,6.526486,0.038264,False,Green,7,-2.112155,0.038000,False
TimesFM-2.5-Conf,EURRON_ret,0.050000,1831,102,0.055707,0.050000,11.676597,0.000633,False,15.167077,0.000509,False,Green,13,,,
TimesFM-2.5-Conf,WIG20_ret,0.010000,1747,30,0.017172,0.010000,8.076752,0.004484,False,10.698945,0.004751,False,Green,4,,,
TimesFM-2.5-Conf,WIG20_ret,0.025000,1747,51,0.029193,0.025000,3.779039,0.051898,True,12.345621,0.002085,False,Green,4,-0.501849,0.022000,False
TimesFM-2.5-Conf,WIG20_ret,0.050000,1747,92,0.052662,0.050000,9.694266,0.001848,False,9.985849,0.006786,False,Green,8,,,
TimesFM-2.5-Conf,EURPLN_ret,0.010000,1833,28,0.015276,0.010000,4.999705,0.025352,False,5.587891,0.061179,True,Green,4,,,
TimesFM-2.5-Conf,EURPLN_ret,0.025000,1833,58,0.031642,0.025000,6.001129,0.014297,False,6.029978,0.049046,False,Yellow,10,-0.383189,0.029000,False
TimesFM-2.5-Conf,EURPLN_ret,0.050000,1833,106,0.057829,0.050000,13.130729,0.000290,False,16.762460,0.000229,False,Green,15,,,
TimesFM-2.5-Conf,PX_ret,0.010000,1753,27,0.015402,0.010000,4.978339,0.025667,False,8.295513,0.015800,False,Green,4,,,
TimesFM-2.5-Conf,PX_ret,0.025000,1753,50,0.028523,0.025000,3.385975,0.065753,True,6.774757,0.033797,False,Green,7,-0.455869,0.025000,False
TimesFM-2.5-Conf,PX_ret,0.050000,1753,96,0.054763,0.050000,10.661593,0.001094,False,12.072287,0.002391,False,Green,13,,,
TimesFM-2.5-Conf,EURCZK_ret,0.010000,1833,26,0.014184,0.010000,3.392071,0.065511,True,3.400550,0.182633,True,Green,3,,,
TimesFM-2.5-Conf,EURCZK_ret,0.025000,1833,59,0.032188,0.025000,6.554369,0.010463,False,7.114284,0.028520,False,Green,9,-0.395864,0.040000,False
TimesFM-2.5-Conf,EURCZK_ret,0.050000,1833,106,0.057829,0.050000,13.130729,0.000290,False,14.087614,0.000873,False,Green,15,,,
TimesFM-2.5-Conf,BUX_ret,0.010000,1741,31,0.017806,0.010000,9.320989,0.002265,False,11.729833,0.002837,False,Green,3,,,
TimesFM-2.5-Conf,BUX_ret,0.025000,1741,54,0.031017,0.025000,5.139142,0.023392,False,22.945592,0.000010,False,Green,5,-0.715198,0.007000,False
TimesFM-2.5-Conf,BUX_ret,0.050000,1741,92,0.052843,0.050000,9.729083,0.001814,False,20.633332,0.000033,False,Green,9,,,
TimesFM-2.5-Conf,EURHUF_ret,0.010000,1833,33,0.018003,0.010000,10.248158,0.001368,False,12.431300,0.001998,False,Green,1,,,
TimesFM-2.5-Conf,EURHUF_ret,0.025000,1833,66,0.036007,0.025000,11.377457,0.000743,False,12.401817,0.002028,False,Green,5,-0.607843,0.004000,False
TimesFM-2.5-Conf,EURHUF_ret,0.050000,1833,103,0.056192,0.050000,11.991473,0.000534,False,12.860975,0.001612,False,Green,10,,,
TimesFM-2.5-Conf,SOFIX_ret,0.010000,1719,24,0.013962,0.010000,2.908552,0.088111,True,3.810706,0.148770,True,Yellow,5,,,
TimesFM-2.5-Conf,SOFIX_ret,0.025000,1719,51,0.029668,0.025000,4.034025,0.044591,False,5.266365,0.071849,True,Green,8,-0.464604,0.068000,True
TimesFM-2.5-Conf,SOFIX_ret,0.050000,1719,89,0.051774,0.050000,9.242880,0.002364,False,11.568612,0.003075,False,Green,14,,,
TimesFM-2.5-Conf,USDBGN_ret,0.010000,1831,31,0.016931,0.010000,7.977637,0.004736,False,8.345168,0.015412,False,Yellow,6,,,
TimesFM-2.5-Conf,USDBGN_ret,0.025000,1831,58,0.031677,0.025000,6.028543,0.014076,False,6.057084,0.048386,False,Green,9,-0.416252,0.011000,False
TimesFM-2.5-Conf,USDBGN_ret,0.050000,1831,96,0.052430,0.050000,10.072587,0.001505,False,12.960820,0.001533,False,Green,10,,,
Moirai-2.0-Conf,BET_ret,0.010000,1744,26,0.014908,0.010000,4.210293,0.040179,False,4.220242,0.121223,True,Green,4,,,
Moirai-2.0-Conf,BET_ret,0.025000,1744,51,0.029243,0.025000,3.805053,0.051098,True,3.980346,0.136672,True,Green,8,-0.405180,0.041000,False
Moirai-2.0-Conf,BET_ret,0.050000,1744,88,0.050459,0.050000,9.035323,0.002648,False,9.111064,0.010509,False,Green,11,,,
Moirai-2.0-Conf,EURRON_ret,0.010000,1831,23,0.012561,0.010000,1.584616,0.208097,True,1.589804,0.451625,True,Yellow,6,,,
Moirai-2.0-Conf,EURRON_ret,0.025000,1831,58,0.031677,0.025000,6.028543,0.014076,False,6.042304,0.048745,False,Yellow,14,-2.194241,0.033000,False
Moirai-2.0-Conf,EURRON_ret,0.050000,1831,100,0.054615,0.050000,11.056757,0.000884,False,14.233229,0.000812,False,Green,17,,,
Moirai-2.0-Conf,WIG20_ret,0.010000,1747,28,0.016027,0.010000,5.983345,0.014442,False,6.517334,0.038440,False,Yellow,6,,,
Moirai-2.0-Conf,WIG20_ret,0.025000,1747,48,0.027476,0.025000,2.856316,0.091016,True,4.552521,0.102667,True,Green,6,-0.395382,0.049000,False
Moirai-2.0-Conf,WIG20_ret,0.050000,1747,90,0.051517,0.050000,9.316621,0.002271,False,9.422069,0.008995,False,Green,10,,,
Moirai-2.0-Conf,EURPLN_ret,0.010000,1833,30,0.016367,0.010000,6.897730,0.008631,False,6.910642,0.031577,False,Green,1,,,
Moirai-2.0-Conf,EURPLN_ret,0.025000,1833,48,0.026187,0.025000,2.534794,0.111361,True,2.596925,0.272951,True,Green,4,-0.181678,0.162000,True
Moirai-2.0-Conf,EURPLN_ret,0.050000,1833,100,0.054555,0.050000,11.037405,0.000893,False,11.523092,0.003146,False,Green,14,,,
Moirai-2.0-Conf,PX_ret,0.010000,1753,24,0.013691,0.010000,2.645293,0.103857,True,3.573814,0.167477,True,Green,3,,,
Moirai-2.0-Conf,PX_ret,0.025000,1753,55,0.031375,0.025000,5.492346,0.019100,False,6.335790,0.042092,False,Green,7,-0.594084,0.007000,False
Moirai-2.0-Conf,PX_ret,0.050000,1753,97,0.055334,0.050000,10.967210,0.000927,False,13.312895,0.001286,False,Green,13,,,
Moirai-2.0-Conf,EURCZK_ret,0.010000,1833,23,0.012548,0.010000,1.574281,0.209586,True,1.579441,0.453972,True,Green,4,,,
Moirai-2.0-Conf,EURCZK_ret,0.025000,1833,51,0.027823,0.025000,3.160991,0.075417,True,3.166807,0.205275,True,Green,7,-0.248044,0.102000,True
Moirai-2.0-Conf,EURCZK_ret,0.050000,1833,101,0.055101,0.050000,11.334535,0.000761,False,14.657437,0.000656,False,Green,14,,,
Moirai-2.0-Conf,BUX_ret,0.010000,1741,26,0.014934,0.010000,4.240192,0.039478,False,11.847250,0.002675,False,Green,4,,,
Moirai-2.0-Conf,BUX_ret,0.025000,1741,47,0.026996,0.025000,2.657332,0.103074,True,12.865619,0.001608,False,Green,7,-0.328331,0.076000,True
Moirai-2.0-Conf,BUX_ret,0.050000,1741,83,0.047674,0.050000,8.716014,0.003154,False,18.435071,0.000099,False,Green,12,,,
Moirai-2.0-Conf,EURHUF_ret,0.010000,1833,28,0.015276,0.010000,4.999705,0.025352,False,5.587891,0.061179,True,Green,2,,,
Moirai-2.0-Conf,EURHUF_ret,0.025000,1833,66,0.036007,0.025000,11.377457,0.000743,False,12.483708,0.001946,False,Green,9,-0.550193,0.005000,False
Moirai-2.0-Conf,EURHUF_ret,0.050000,1833,105,0.057283,0.050000,12.730711,0.000360,False,12.950475,0.001541,False,Green,11,,,
Moirai-2.0-Conf,SOFIX_ret,0.010000,1719,22,0.012798,0.010000,1.691266,0.193434,True,1.696935,0.428070,True,Yellow,5,,,
Moirai-2.0-Conf,SOFIX_ret,0.025000,1719,50,0.029087,0.025000,3.651712,0.056012,True,3.828869,0.147425,True,Yellow,10,-0.389658,0.098000,True
Moirai-2.0-Conf,SOFIX_ret,0.050000,1719,92,0.053519,0.050000,9.876611,0.001674,False,14.907037,0.000579,False,Green,12,,,
Moirai-2.0-Conf,USDBGN_ret,0.010000,1831,27,0.014746,0.010000,4.177478,0.040965,False,4.187097,0.123249,True,Green,4,,,
Moirai-2.0-Conf,USDBGN_ret,0.025000,1831,51,0.027854,0.025000,3.172653,0.074881,True,3.178531,0.204075,True,Green,8,-0.243105,0.082000,True
Moirai-2.0-Conf,USDBGN_ret,0.050000,1831,96,0.052430,0.050000,10.072587,0.001505,False,12.662023,0.001780,False,Green,14,,,
