model,series,alpha,n_obs,n_violations,violation_rate,expected_rate,kupiec_stat,kupiec_p,kupiec_pass,christoffersen_stat,christoffersen_p,christoffersen_pass,basel_tl,last250_violations,as_z2,as_p,as_pass
HS,SOFIX_ret,0.025000,1969,61,0.030980,0.025000,5.776756,0.016239,False,25.252718,0.000003,False,Green,7,-0.465233,0.041000,False
HS,SOFIX_ret,0.050000,1969,113,0.057390,0.050000,13.757373,0.000208,False,27.708525,0.000001,False,Green,13,,,
HS,USDBGN_ret,0.010000,2081,36,0.017299,0.010000,9.918039,0.001637,False,11.953478,0.002537,False,Yellow,6,,,
HS,USDBGN_ret,0.025000,2081,58,0.027871,0.025000,3.615840,0.057232,True,6.307787,0.042686,False,Green,9,-0.225189,0.078000,True
HS,USDBGN_ret,0.050000,2081,109,0.052379,0.050000,11.426182,0.000724,False,14.426410,0.000737,False,Green,14,,,
GJR-GARCH,BET_ret,0.010000,1994,35,0.017553,0.010000,10.082130,0.001497,False,10.097455,0.006417,False,Green,2,,,
GJR-GARCH,BET_ret,0.025000,1994,72,0.036108,0.025000,12.540344,0.000398,False,12.724911,0.001725,False,Green,7,-0.525340,0.015000,False
GJR-GARCH,BET_ret,0.050000,1994,113,0.056670,0.050000,13.386088,0.000253,False,13.460300,0.001194,False,Green,12,,,
GJR-GARCH,EURRON_ret,0.010000,2081,22,0.010572,0.010000,0.509690,0.475273,True,0.510851,0.774587,True,Green,3,,,
GJR-GARCH,EURRON_ret,0.025000,2081,56,0.026910,0.025000,3.139647,0.076410,True,3.347368,0.187555,True,Green,9,-0.667519,0.098000,True
GJR-GARCH,EURRON_ret,0.050000,2081,119,0.057184,0.050000,14.373106,0.000150,False,14.977547,0.000559,False,Green,15,,,
GJR-GARCH,WIG20_ret,0.010000,1997,33,0.016525,0.010000,7.839632,0.005111,False,8.168710,0.016834,False,Green,4,,,
GJR-GARCH,WIG20_ret,0.025000,1997,70,0.035053,0.025000,10.918459,0.000952,False,12.116216,0.002339,False,Green,5,-0.467409,0.002000,False
GJR-GARCH,WIG20_ret,0.050000,1997,115,0.057586,0.050000,14.109270,0.000172,False,14.611606,0.000672,False,Green,8,,,
GJR-GARCH,EURPLN_ret,0.010000,2083,35,0.016803,0.010000,8.787882,0.003032,False,8.801680,0.012267,False,Green,2,,,
GJR-GARCH,EURPLN_ret,0.025000,2083,68,0.032645,0.025000,8.006311,0.004661,False,10.821184,0.004469,False,Green,5,-0.389901,0.018000,False
GJR-GARCH,EURPLN_ret,0.050000,2083,130,0.062410,0.050000,19.618012,0.000009,False,21.519150,0.000021,False,Green,15,,,
GJR-GARCH,PX_ret,0.010000,2003,31,0.015477,0.010000,5.822796,0.015820,False,5.833898,0.054098,True,Green,4,,,
GJR-GARCH,PX_ret,0.025000,2003,70,0.034948,0.025000,10.794746,0.001018,False,11.713226,0.002861,False,Yellow,10,-0.479928,0.002000,False
GJR-GARCH,PX_ret,0.050000,2003,121,0.060409,0.050000,16.709674,0.000044,False,16.747129,0.000231,False,Green,14,,,
GJR-GARCH,EURCZK_ret,0.010000,2083,27,0.012962,0.010000,2.231098,0.135258,True,2.237097,0.326754,True,Green,3,,,
GJR-GARCH,EURCZK_ret,0.025000,2083,62,0.029765,0.025000,4.969716,0.025795,False,5.469830,0.064900,True,Green,5,-0.242539,0.063000,True
GJR-GARCH,EURCZK_ret,0.050000,2083,108,0.051848,0.050000,11.227444,0.000806,False,11.792163,0.002750,False,Green,12,,,
GJR-GARCH,BUX_ret,0.010000,1991,34,0.017077,0.010000,8.993795,0.002709,False,11.238535,0.003627,False,Green,3,,,
GJR-GARCH,BUX_ret,0.025000,1991,70,0.035158,0.025000,11.043481,0.000890,False,17.251396,0.000179,False,Green,7,-0.524874,0.006000,False
GJR-GARCH,BUX_ret,0.050000,1991,109,0.054746,0.050000,12.099182,0.000504,False,14.694047,0.000645,False,Green,10,,,
GJR-GARCH,EURHUF_ret,0.010000,2083,33,0.015843,0.010000,6.762764,0.009308,False,7.131048,0.028282,False,Green,2,,,
GJR-GARCH,EURHUF_ret,0.025000,2083,65,0.031205,0.025000,6.345043,0.011771,False,7.971900,0.018575,False,Green,8,-0.313548,0.034000,False
GJR-GARCH,EURHUF_ret,0.050000,2083,99,0.047528,0.050000,10.428425,0.001241,False,11.507972,0.003170,False,Green,10,,,
GJR-GARCH,SOFIX_ret,0.010000,1969,33,0.016760,0.010000,8.216591,0.004151,False,8.230303,0.016323,False,Yellow,5,,,
GJR-GARCH,SOFIX_ret,0.025000,1969,68,0.034535,0.025000,10.019866,0.001549,False,10.098130,0.006415,False,Green,7,-0.579469,0.012000,False
GJR-GARCH,SOFIX_ret,0.050000,1969,117,0.059421,0.050000,15.481480,0.000083,False,15.671405,0.000395,False,Green,14,,,
GJR-GARCH,USDBGN_ret,0.010000,2081,34,0.016338,0.010000,7.771078,0.005309,False,8.082227,0.017578,False,Yellow,7,,,
GJR-GARCH,USDBGN_ret,0.025000,2081,57,0.027391,0.025000,3.359705,0.066810,True,4.480767,0.106418,True,Green,9,-0.173196,0.136000,True
GJR-GARCH,USDBGN_ret,0.050000,2081,119,0.057184,0.050000,14.373106,0.000150,False,14.500260,0.000710,False,Green,16,,,
ARIMA-Conformal,BET_ret,0.010000,1994,34,0.017051,0.010000,8.950830,0.002773,False,14.347204,0.000767,False,Green,4,,,
ARIMA-Conformal,BET_ret,0.025000,1994,65,0.032598,0.025000,7.607621,0.005812,False,24.983656,0.000004,False,Green,6,-0.545350,0.013000,False
ARIMA-Conformal,BET_ret,0.050000,1994,114,0.057172,0.050000,13.762566,0.000207,False,32.562777,0.000000,False,Green,8,,,
ARIMA-Conformal,EURRON_ret,0.010000,2081,20,0.009611,0.010000,0.434277,0.509898,True,2.182532,0.335791,True,Yellow,6,,,
ARIMA-Conformal,EURRON_ret,0.025000,2081,54,0.025949,0.025000,2.810291,0.093661,True,6.268109,0.043541,False,Yellow,12,-0.616772,0.107000,True
ARIMA-Conformal,EURRON_ret,0.050000,2081,101,0.048534,0.050000,10.456239,0.001222,False,26.053565,0.000002,False,Yellow,22,,,
ARIMA-Conformal,WIG20_ret,0.010000,1997,35,0.017526,0.010000,10.036261,0.001535,False,15.141976,0.000515,False,Green,4,,,
ARIMA-Conformal,WIG20_ret,0.025000,1997,71,0.035553,0.025000,11.680506,0.000632,False,20.116894,0.000043,False,Green,5,-0.562041,0.003000,False
ARIMA-Conformal,WIG20_ret,0.050000,1997,115,0.057586,0.050000,14.109270,0.000172,False,16.898076,0.000214,False,Green,9,,,
ARIMA-Conformal,EURPLN_ret,0.010000,2083,29,0.013922,0.010000,3.467622,0.062581,True,10.803712,0.004508,False,Green,1,,,
ARIMA-Conformal,EURPLN_ret,0.025000,2083,62,0.029765,0.025000,4.969716,0.025795,False,8.976353,0.011241,False,Green,4,-0.329939,0.041000,False
ARIMA-Conformal,EURPLN_ret,0.050000,2083,116,0.055689,0.050000,13.271009,0.000270,False,19.198492,0.000068,False,Green,10,,,
ARIMA-Conformal,PX_ret,0.010000,2003,35,0.017474,0.010000,9.945006,0.001613,False,18.900591,0.000079,False,Yellow,5,,,
ARIMA-Conformal,PX_ret,0.025000,2003,73,0.036445,0.025000,13.149455,0.000288,False,26.584410,0.000002,False,Green,8,-0.641690,0.003000,False
ARIMA-Conformal,PX_ret,0.050000,2003,116,0.057913,0.050000,14.418139,0.000146,False,29.824935,0.000000,False,Green,14,,,
ARIMA-Conformal,EURCZK_ret,0.010000,2083,30,0.014402,0.010000,4.192045,0.040614,False,4.765000,0.092320,True,Green,3,,,
ARIMA-Conformal,EURCZK_ret,0.025000,2083,66,0.031685,0.025000,6.867654,0.008777,False,8.367338,0.015242,False,Green,3,-0.386081,0.031000,False
ARIMA-Conformal,EURCZK_ret,0.050000,2083,117,0.056169,0.050000,13.610229,0.000225,False,19.281829,0.000065,False,Green,7,,,
ARIMA-Conformal,BUX_ret,0.010000,1991,37,0.018584,0.010000,12.569820,0.000392,False,29.603660,0.000000,False,Green,4,,,
ARIMA-Conformal,BUX_ret,0.025000,1991,64,0.032145,0.025000,7.070563,0.007836,False,32.944757,0.000000,False,Green,8,-0.526264,0.009000,False
ARIMA-Conformal,BUX_ret,0.050000,1991,112,0.056253,0.050000,13.067728,0.000300,False,30.228366,0.000000,False,Green,10,,,
ARIMA-Conformal,EURHUF_ret,0.010000,2083,29,0.013922,0.010000,3.467622,0.062581,True,10.803712,0.004508,False,Green,1,,,
ARIMA-Conformal,EURHUF_ret,0.025000,2083,65,0.031205,0.025000,6.345043,0.011771,False,7.971900,0.018575,False,Green,3,-0.367973,0.030000,False
ARIMA-Conformal,EURHUF_ret,0.050000,2083,115,0.055209,0.050000,12.950048,0.000320,False,16.160825,0.000310,False,Green,11,,,
ARIMA-Conformal,SOFIX_ret,0.010000,1969,30,0.015236,0.010000,5.302836,0.021291,False,27.357454,0.000001,False,Yellow,5,,,
ARIMA-Conformal,SOFIX_ret,0.025000,1969,62,0.031488,0.025000,6.285470,0.012173,False,29.148648,0.000000,False,Green,7,-0.558107,0.030000,False
ARIMA-Conformal,SOFIX_ret,0.050000,1969,115,0.058405,0.050000,14.582485,0.000134,False,27.673758,0.000001,False,Green,11,,,
ARIMA-Conformal,USDBGN_ret,0.010000,2081,35,0.016819,0.010000,8.815495,0.002987,False,11.015836,0.004055,False,Yellow,6,,,
ARIMA-Conformal,USDBGN_ret,0.025000,2081,62,0.029793,0.025000,4.989370,0.025503,False,17.463030,0.000161,False,Yellow,10,-0.304598,0.039000,False
ARIMA-Conformal,USDBGN_ret,0.050000,2081,118,0.056704,0.050000,13.995770,0.000183,False,15.629441,0.000404,False,Green,17,,,
LSTM-Conformal,BET_ret,0.010000,1994,38,0.019057,0.010000,13.818795,0.000201,False,35.303340,0.000000,False,Green,3,,,
LSTM-Conformal,BET_ret,0.025000,1994,67,0.033601,0.025000,8.864651,0.002907,False,36.809762,0.000000,False,Green,6,-0.531094,0.017000,False
LSTM-Conformal,BET_ret,0.050000,1994,111,0.055667,0.050000,12.689578,0.000368,False,35.950436,0.000000,False,Green,6,,,
LSTM-Conformal,EURRON_ret,0.010000,2081,23,0.011052,0.010000,0.687431,0.407040,True,0.689563,0.708375,True,Yellow,6,,,
LSTM-Conformal,EURRON_ret,0.025000,2081,46,0.022105,0.025000,3.073478,0.079579,True,3.067559,0.215719,True,Green,8,-0.862239,0.072000,True
LSTM-Conformal,EURRON_ret,0.050000,2081,107,0.051418,0.050000,11.064027,0.000880,False,14.431776,0.000735,False,Yellow,19,,,
LSTM-Conformal,WIG20_ret,0.010000,1997,31,0.015523,0.010000,5.889648,0.015230,False,12.271894,0.002164,False,Green,4,,,
